"","Job_Title","Company","Location","Links"
"120","Leidos Data Science Fellows","Leidos","Atlanta, GA 30330 (Oakland City area)","/rc/clk?jk=fafba1b8f500f8cd&fccid=8765a4045377753a&vjs=3"
"121","Analytics / Data Science Consultant","Kaiser Permanente","Atlanta, GA","/rc/clk?jk=8a25c03d8850520d&fccid=48ecd526e3aa3225&vjs=3"
"122","Lead Data Scientist (remote)","Thrivent","Atlanta, GA","/rc/clk?jk=24a67a94094eadf7&fccid=c40fae22b6a11e7d&vjs=3"
"123","Senior Data Analyst","Agile","Atlanta, GA","/rc/clk?jk=37b987ee49e1ef72&fccid=72d69a7225c5a959&vjs=3"
"124","Senior Data Engineer","Capgemini","Atlanta, GA 30328","/rc/clk?jk=62a308c002f638b6&fccid=105ecfd0283f415f&vjs=3"
"125","Senior Specialist, Federal Data Scientist","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=834f87468b85e539&fccid=2dd390c3a48a7ed0&vjs=3"
"126","Senior Data Analyst MDM","Serta Simmons Bedding, LLC","Doraville, GA","/company/Serta-Simmons-Bedding/jobs/Senior-Data-Analyst-Mdm-9ceee5314ae75c8f?fccid=9f47810177ecb763&vjs=3"
"127","Sr. Data Scientist - Utility Analytics","Koch Engineered Solutions","Atlanta, GA 30303 (Five Points area)","/rc/clk?jk=130fb69666ab38f5&fccid=735667c8ff2f1a48&vjs=3"
"128","Manager of Data Science","Calendly","Atlanta, GA","/rc/clk?jk=dfde29fa020ad451&fccid=88e1dcd0cd0bffc1&vjs=3"
"129","Chief Data Scientist","Seek Now","Atlanta, GA","/rc/clk?jk=e8425883dc431930&fccid=f3318349d9a0a91f&vjs=3"
"130","Data Scientist Lead (Contract to Hire)","CO-OP Financial Services","Alpharetta, GA","/rc/clk?jk=38f7fcc02a63ffd8&fccid=085fae7e48252893&vjs=3"
"131","Lead Data Scientist","Novelis Corporate HQ","Atlanta, GA 30326 (North Buckhead area)","/rc/clk?jk=fa3c2a1bc006b3c6&fccid=935cee81b824e61e&vjs=3"
"132","Data Architect","UCB S.A.","Atlanta, GA","/rc/clk?jk=1a4986fad6b11308&fccid=33684b64e937e3af&vjs=3"
"133","Senior Data Scientist & Analytics Engineer Job","Acuity Brands","Conyers, GA 30012","/rc/clk?jk=0183b597f0c1757d&fccid=7fafd2106b16b1de&vjs=3"
